Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
75	100	0	-19.983	0	12.238	98.009	0.07844	1.4238	1.3954	12.577	0.062
98	450	-0.16387	-17.152	0	8.0095	98.989	0.09697	1.0728	1.0621	12.506	0.058
54	1500	352.52	224.71	732.59	26.188	74.049	0.85392	3.3998	2.5156	12.648	0.7835
36	350	-0.11009	-18.895	0	9.6733	96.32	0.18406	1.2006	1.1565	12.676	0.069
33	1650	757.33	480.98	1600.5	26.952	41.968	0.88727	3.5552	1.4919	12.714	1.105
60	2200	-0.0456	-7.7232	-1.8674	19.192	94.124	0.0108	2.2227	2.0921	12.626	0.14
49	1550	237.94	146.16	487.75	23.24	81.177	0.64175	2.8497	2.3131	12.656	0.595
72	750	1.8617	-22.403	6.0011	8.1784	99.458	0.12847	1.0852	1.0793	12.573	0.0875
85	1750	376.9	186.3	783.95	23	56.177	0.68622	2.8087	1.5775	12.558	0.406
92	1300	39.677	32.567	110.9	19.849	102.37	1.1791	2.3153	2.3701	12.534	0.0725
84	100	-0.40809	-16.495	-0.03653	10.702	98.486	0.147	1.2861	1.2666	12.551	0.1045
96	200	-0.11009	-23.262	0	11.254	96.351	0.10253	1.3344	1.2855	12.512	0.131
53	50	-0.04827	-3.2523	-3.187	20.694	98.674	0.29709	2.4395	2.4072	12.652	0.064
69	850	19.611	11.691	40.771	18.021	100.93	0.92341	2.0655	2.0848	12.594	0.102
87	950	270.36	128.74	616.94	20.511	87.373	0.87152	2.4131	2.1065	12.541	0.534
63	350	-0.051	-14.625	-1.394	14.452	102.48	0.07288	1.645	1.6858	12.609	0.0815
70	700	-0.01342	-27.154	-0.20697	12.616	102.32	0.0562	1.4596	1.4935	12.584	0.0615
103	1700	160.44	92.617	353.25	18.744	88.416	1.4821	2.1619	1.9109	12.508	0.1165
78	1350	776.77	517.02	1675.2	23.415	61.35	1.382	2.8802	1.7668	12.565	0.913
77	700	-0.09398	-21.722	-1.1874	11.728	102.17	0.084	1.3766	1.4066	12.557	0.0655
109	1400	167.46	114.17	354.1	18.627	94.318	1.1606	2.1456	2.0237	12.489	0.0785
85	100	-0.19604	-15.839	-0.00609	9.6906	98.533	0.17665	1.2019	1.1842	12.545	0.1015
102	650	-0.03757	-11.846	-0.40774	18.495	80.072	0.78999	2.1279	1.7039	12.496	0.157
72	1500	550.15	359.32	1128.3	23.591	64.122	0.97899	2.912	1.8657	12.583	0.737
54	1400	724.76	495.66	1583.5	26.951	78.92	0.92248	3.5556	2.802	12.648	0.807
72	2050	-0.0724	-41.609	-0.38927	16.876	91.324	0.11179	1.922	1.7547	12.586	0.15
66	750	1.8488	-18.417	5.0569	18.699	73.308	1.0429	2.1553	1.5799	12.601	0.2275
95	2250	-0.09126	-27.812	-0.26785	11.698	95.575	0.20351	1.3741	1.3132	12.518	0.1075
37	1550	430.28	267.8	932.75	21.867	76.147	0.79184	2.6233	1.9936	12.696	0.8375
103	550	-0.17703	-18.915	0.85174	18.248	102.22	1.3005	2.0953	2.1418	12.514	0.071
41	150	0	-1.7131	-0.23118	19.568	97.935	0.09326	2.2753	2.2283	12.679	0.058
86	0	-0.33025	-15.781	-0.72462	10.213	97.672	0.15534	1.2447	1.2157	12.544	0.0885
62	500	-1.3125	-23.381	0.01217	14.672	100.08	0.06917	1.6686	1.67	12.616	0.0775
34	700	5.12	-18.088	12.805	11.825	93.61	0.14051	1.3858	1.2973	12.677	0.104
92	1800	51.785	35.195	119.57	20.553	102.59	1.6776	2.4184	2.4809	12.54	0.0855
93	1800	145.44	48.572	322.88	19.73	68.019	0.9234	2.2986	1.5634	12.533	0.274
71	1450	711.73	466.47	1490	23.468	55.424	0.74737	2.8908	1.6006	12.584	0.8545
94	600	-2.3552	-28.076	0.00609	9.3368	96.77	0.25077	1.1737	1.1359	12.519	0.115
72	1900	90.708	15.253	193.85	20.309	76.588	0.59079	2.3825	1.824	12.592	0.199
35	2100	1.6192	-67.206	4.3652	16.758	74.679	0.3323	1.908	1.4233	12.71	0.178
40	1750	306.13	199.03	668.14	23.558	70.725	1.0494	2.9053	2.0542	12.695	0.448
106	250	-0.71714	-19.27	-0.10965	8.8968	98.727	0.12198	1.1393	1.1248	12.487	0.0745
100	2100	-0.06171	-10.997	-0.40163	16.288	92.47	0.07103	1.8509	1.7115	12.508	0.0855
118	1700	171.5	93.073	367.41	18.846	71.789	0.89376	2.1753	1.5614	12.462	0.281
119	2300	0.10468	-3.6527	-0.0974	16.467	101.76	0.48888	1.8723	1.9053	12.457	0.09
48	2100	0.00804	-18.176	0.02433	20.123	101.66	0.09697	2.3553	2.3944	12.651	0.0785
111	700	-0.89946	-16.506	0.61501	12.725	100.69	0.03026	1.47	1.4801	12.479	0.078
85	2000	0.78835	-43.224	3.4056	15.298	88.465	0.10994	1.7383	1.5363	12.554	0.1355
51	100	-0.11266	-0.80001	-0.32849	20.38	101.82	0.71402	2.3927	2.4363	12.651	0.0575
106	2050	-0.06441	-25.633	-0.38344	13.4	91.096	0.15441	1.5364	1.3996	12.49	0.055
115	100	-0.0994	-18.855	1.7851	7.3764	98.638	0.13032	1.0274	1.0134	12.461	0.068
118	2100	-0.04563	-19.876	0.76701	15.842	90.754	0.34805	1.799	1.6325	12.458	0.0925
51	2300	-0.05095	-3.2355	-1.6176	22.503	98.673	0.09882	2.7251	2.6889	12.657	0.0825
45	1850	322.03	165.05	692.05	28.069	63.476	0.97714	3.7955	2.4085	12.68	0.438
87	2350	-0.3515	-11.645	-0.10345	16.925	96.335	0.02563	1.9274	1.8567	12.548	0.0685
69	1900	35.226	20.859	68.672	17.033	92.276	0.68251	1.9406	1.7907	12.594	0.0915
85	1100	548.4	326.55	1195	22.137	67.537	0.34342	2.6661	1.7993	12.54	0.512
111	1100	486.6	285.9	1054.5	21.005	77.867	0.32396	2.4872	1.9361	12.474	0.51
41	1600	213.79	135.29	483.05	22.263	78.884	1.2606	2.6856	2.1184	12.682	0.459
35	2300	-0.32734	-62.562	-0.05476	14.083	85.096	0.27022	1.6061	1.3668	12.699	0.095
78	2300	-0.03489	-14.63	0	15.672	99.514	0.00895	1.7794	1.7708	12.569	0.1115
104	750	-0.38383	-27.63	0.73049	15.902	95.125	0.50278	1.8058	1.7177	12.498	0.066
100	950	71.036	38.453	140.54	15.372	89.844	0.06732	1.7456	1.5681	12.505	0.189
33	500	-0.00805	-32.627	0	11.708	91.583	0.29061	1.375	1.2591	12.683	0.074
76	700	-0.0349	-5.4994	-0.91329	13.489	99.334	0.10901	1.5454	1.535	12.571	0.095
100	750	-0.00537	-4.5279	0.00609	13.586	98.875	0.03211	1.555	1.5375	12.498	0.063
113	1000	275.26	124.97	614.65	15.489	99.378	0.10623	1.761	1.7465	12.466	0.2295
109	1300	103.72	68.314	222.45	18.027	99.204	0.85299	2.0663	2.0499	12.482	0.0865
47	200	-0.13951	-11.884	-0.00609	17.718	98.22	0.08307	2.0266	1.9905	12.666	0.089
53	200	-0.08315	-6.3012	0.12166	20.85	98.561	0.02563	2.4631	2.4277	12.646	0.0685
55	400	-0.83973	-3.4188	0.00608	18.51	99.707	0.06639	2.1299	2.1237	12.64	0.0625
100	900	52.376	27.424	100.01	14.582	96.618	0.06917	1.6591	1.6027	12.505	0.191
98	1450	674.72	441.4	1403.2	21.784	62.109	1.4812	2.6085	1.6196	12.513	0.826
62	1650	404.09	260.8	862.53	20.829	99.484	0.98826	2.4622	2.4492	12.617	0.3015
96	1100	289.22	183.49	617.57	19.682	78.479	0.7029	2.2916	1.7983	12.507	0.748
107	1350	430.69	277.67	886.83	19.86	63.905	0.57134	2.3173	1.4799	12.482	0.6875
61	1700	288.81	182.67	585.29	22.698	71.76	0.86318	2.7579	1.9791	12.623	0.828
113	100	-0.10469	-17.016	-1.4611	12.411	98.885	0.11457	1.4401	1.424	12.479	0.077
45	1700	646.15	417.32	1384.5	28.946	64.376	0.82612	3.9932	2.5704	12.68	0.9315
112	750	0.01343	-23.616	0.87715	10.588	100.61	-0.00309	1.2763	1.2841	12.473	0.0705
50	100	-0.05365	-3.2032	-0.45017	19.878	99.213	0.12106	2.3196	2.3013	12.653	0.0605
51	300	-0.12338	-0.59086	-2.3176	20.592	101.88	0.61858	2.4242	2.4698	12.652	0.058
65	1900	71.615	26.033	149.68	19.422	72.128	0.50741	2.2549	1.6263	12.606	0.2525
93	1100	242.07	156.83	509.74	19.438	100.57	1.0337	2.2571	2.2699	12.54	0.51
46	250	-0.71083	-1.0085	-0.9125	20.391	99.596	-0.03182	2.3944	2.3847	12.672	0.0815
86	650	-0.40545	-11.144	-0.33492	12.097	100.15	0.03211	1.4106	1.4127	12.538	0.062
101	1800	197.79	49.23	401.53	20.623	57.371	0.47961	2.4292	1.3929	12.506	0.1745
77	350	-0.14228	-19.547	-1.1202	12.254	101.78	0.0386	1.4252	1.4506	12.57	0.0635
33	1200	871.87	546.01	1853.7	24.571	48.892	1.029	3.087	1.5093	12.707	1.357
96	1450	564.8	367.28	1200.5	21.861	58.46	1.0012	2.6232	1.5314	12.519	0.7415
115	600	0.00806	-0.96528	0.36553	11.585	101.19	0.15719	1.3637	1.3799	12.459	0.0755
