i0 i1 i2 i3 i4 i5 !o0 !o1 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000009 0.4999999999999991 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999999 0.5000000000000001 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000003 0.49999999999999967 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999867 0.5000000000000013 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000007 0.49999999999999933 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000001 0.4999999999999999 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999999 0.5000000000000001 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.5 0.5 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000008 0.4999999999999992 0.5 0.5 1.0 0.0 
0.5 0.5 0.5 0.5 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999944 0.5000000000000006 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000001 0.5 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.5 0.5000000000000001 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000009 0.4999999999999991 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000004 0.49999999999999956 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000002 0.4999999999999998 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000003 0.49999999999999967 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999956 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000004 0.49999999999999956 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000002 0.4999999999999998 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000006 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000007 0.49999999999999933 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000001 0.4999999999999999 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000001 0.4999999999999999 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000008 0.4999999999999992 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000006 0.49999999999999944 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000003 0.49999999999999967 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000003 0.49999999999999967 0.5 0.5 1.0 0.0 
0.5 0.5 0.5 0.5 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000003 0.49999999999999967 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000018 0.4999999999999982 0.5 0.5 1.0 0.0 
0.5 0.5 0.5 0.5 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000008 0.4999999999999992 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000004 0.49999999999999956 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999933 0.5000000000000007 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000004 0.49999999999999956 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000006 0.49999999999999956 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000003 0.4999999999999998 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000006 0.49999999999999944 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000002 0.4999999999999998 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999999 0.5000000000000001 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999933 0.5000000000000007 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 0.0 1.0 
0.5 0.5 0.5 0.5000000000000001 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000001 0.5 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.5 0.5 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999999 0.5000000000000001 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000003 0.4999999999999998 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000007 0.49999999999999933 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999999 0.5000000000000001 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999933 0.5000000000000007 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999999 0.5000000000000001 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000004 0.49999999999999956 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000001 0.4999999999999999 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000006 0.49999999999999956 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000012 0.4999999999999989 0.5 0.5 0.0 1.0 
0.5 0.5 0.4999999999999999 0.5000000000000001 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 0.0 1.0 
0.5 0.5 0.5 0.5000000000000001 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.5000000000000006 0.49999999999999956 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000013 0.49999999999999867 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 0.0 1.0 
0.5 0.5 0.5000000000000001 0.4999999999999999 0.5 0.5 0.0 1.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999956 0.5000000000000004 0.5 0.5 1.0 0.0 
0.5 0.5 0.49999999999999967 0.5000000000000003 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 1.0 0.0 
0.5 0.5 0.4999999999999998 0.5000000000000002 0.5 0.5 1.0 0.0 
