i0 i1 
0.0 0.0 5
0.02040816326530612 0.09383225825828516 5
0.04081632653061224 0.18766451651657032 5
0.061224489795918366 0.2814967747748555 5
0.08163265306122448 0.37532903303314064 5
0.1020408163265306 0.4691612912914258 5
0.12244897959183673 0.562993549549711 5
0.14285714285714285 0.6568258078079962 5
0.16326530612244897 0.7506580660662813 5
0.18367346938775508 0.8444903243245664 5
0.2040816326530612 0.9383225825828516 5
0.22448979591836732 1.0321548408411367 5
0.24489795918367346 1.125987099099422 5
0.26530612244897955 1.219819357357707 5
0.2857142857142857 1.3136516156159923 5
0.3061224489795918 1.4074838738742772 5
0.32653061224489793 1.5013161321325625 5
0.3469387755102041 1.5951483903908479 5
0.36734693877551017 1.6889806486491328 5
0.3877551020408163 1.7828129069074181 5
0.4081632653061224 1.8766451651657032 5
0.42857142857142855 1.9704774234239884 5
0.44897959183673464 2.0643096816822735 5
0.4693877551020408 2.158141939940559 5
0.4897959183673469 2.251974198198844 5
0.5102040816326531 2.345806456457129 5
0.5306122448979591 2.439638714715414 5
0.5510204081632653 2.5334709729736993 5
0.5714285714285714 2.6273032312319846 5
0.5918367346938775 2.72113548949027 5
0.6122448979591836 2.8149677477485544 5
0.6326530612244897 2.9088000060068397 5
0.6530612244897959 3.002632264265125 5
0.673469387755102 3.0964645225234104 5
0.6938775510204082 3.1902967807816958 5
0.7142857142857142 3.28412903903998 5
0.7346938775510203 3.3779612972982656 5
0.7551020408163265 3.471793555556551 5
0.7755102040816326 3.5656258138148362 5
0.7959183673469387 3.659458072073121 5
0.8163265306122448 3.7532903303314065 5
0.836734693877551 3.8471225885896914 5
0.8571428571428571 3.9409548468479767 5
0.8775510204081632 4.034787105106262 5
0.8979591836734693 4.128619363364547 5
0.9183673469387754 4.222451621622832 5
0.9387755102040816 4.316283879881118 5
0.9591836734693877 4.4101161381394025 5
0.9795918367346939 4.503948396397688 5
0.9999999999999999 4.597780654655972 5
0.0 0.0 23
0.02040816326530612 0.09389305499400892 23
0.04081632653061224 0.18778610998801784 23
0.061224489795918366 0.2816791649820268 23
0.08163265306122448 0.3755722199760357 23
0.1020408163265306 0.4694652749700446 23
0.12244897959183673 0.5633583299640536 23
0.14285714285714285 0.6572513849580625 23
0.16326530612244897 0.7511444399520714 23
0.18367346938775508 0.8450374949460803 23
0.2040816326530612 0.9389305499400892 23
0.22448979591836732 1.032823604934098 23
0.24489795918367346 1.126716659928107 23
0.26530612244897955 1.2206097149221158 23
0.2857142857142857 1.314502769916125 23
0.3061224489795918 1.4083958249101336 23
0.32653061224489793 1.5022888799041427 23
0.3469387755102041 1.5961819348981516 23
0.36734693877551017 1.6900749898921605 23
0.3877551020408163 1.7839680448861694 23
0.4081632653061224 1.8778610998801784 23
0.42857142857142855 1.9717541548741873 23
0.44897959183673464 2.065647209868196 23
0.4693877551020408 2.1595402648622053 23
0.4897959183673469 2.253433319856214 23
0.5102040816326531 2.347326374850223 23
0.5306122448979591 2.4412194298442316 23
0.5510204081632653 2.535112484838241 23
0.5714285714285714 2.62900553983225 23
0.5918367346938775 2.7228985948262587 23
0.6122448979591836 2.816791649820267 23
0.6326530612244897 2.910684704814276 23
0.6530612244897959 3.0045777598082855 23
