i0 i1 !o0 !o1 
0.49999999999999956 0.5000000000000004 0.0 1.0 
0.49999999999999933 0.5000000000000007 1.0 0.0 
0.5000000000000011 0.4999999999999989 0.0 1.0 
0.5000000000000003 0.49999999999999967 1.0 0.0 
0.49999999999999933 0.5000000000000007 0.0 1.0 
0.49999999999999933 0.5000000000000007 0.0 1.0 
0.5000000000000014 0.49999999999999856 0.0 1.0 
0.49999999999999933 0.5000000000000007 1.0 0.0 
0.49999999999999933 0.5000000000000007 0.0 1.0 
0.49999999999999933 0.5000000000000008 0.0 1.0 
0.4999999999999998 0.5000000000000002 1.0 0.0 
0.499999999999999 0.500000000000001 0.0 1.0 
0.5000000000000023 0.49999999999999767 0.0 1.0 
0.49999999999999933 0.5000000000000007 1.0 0.0 
0.5000000000000001 0.4999999999999999 1.0 0.0 
0.49999999999999956 0.5000000000000004 0.0 1.0 
0.49999999999999944 0.5000000000000006 0.0 1.0 
0.49999999999999933 0.5000000000000008 0.0 1.0 
0.49999999999999933 0.5000000000000007 0.0 1.0 
0.49999999999999956 0.5000000000000004 0.0 1.0 
0.5000000000000003 0.49999999999999967 0.0 1.0 
0.49999999999999956 0.5000000000000006 0.0 1.0 
0.49999999999999944 0.5000000000000006 1.0 0.0 
0.5000000000000008 0.4999999999999992 0.0 1.0 
0.5 0.5000000000000001 1.0 0.0 
0.5000000000000003 0.49999999999999967 1.0 0.0 
0.5000000000000019 0.4999999999999981 1.0 0.0 
0.49999999999999956 0.5000000000000004 1.0 0.0 
0.49999999999999956 0.5000000000000004 1.0 0.0 
0.49999999999999933 0.5000000000000008 1.0 0.0 
0.5000000000000012 0.4999999999999989 1.0 0.0 
0.5000000000000006 0.49999999999999944 0.0 1.0 
0.5000000000000023 0.49999999999999767 0.0 1.0 
0.4999999999999998 0.5000000000000002 1.0 0.0 
0.49999999999999933 0.5000000000000007 1.0 0.0 
0.5 0.5 0.0 1.0 
0.49999999999999956 0.5000000000000004 1.0 0.0 
0.49999999999999956 0.5000000000000003 0.0 1.0 
0.49999999999999967 0.5000000000000003 1.0 0.0 
0.5000000000000007 0.49999999999999933 1.0 0.0 
0.5000000000000002 0.4999999999999998 0.0 1.0 
0.4999999999999998 0.5000000000000002 1.0 0.0 
0.500000000000001 0.499999999999999 1.0 0.0 
0.5000000000000006 0.49999999999999944 0.0 1.0 
0.49999999999999933 0.5000000000000007 1.0 0.0 
0.4999999999999999 0.5000000000000001 1.0 0.0 
0.4999999999999998 0.5000000000000002 0.0 1.0 
0.49999999999999933 0.5000000000000006 1.0 0.0 
0.49999999999999956 0.5000000000000004 0.0 1.0 
0.4999999999999992 0.5000000000000008 1.0 0.0 
0.5000000000000011 0.4999999999999989 0.0 1.0 
0.5000000000000009 0.4999999999999991 0.0 1.0 
0.5 0.5 1.0 0.0 
0.49999999999999944 0.5000000000000006 1.0 0.0 
0.49999999999999933 0.5000000000000007 0.0 1.0 
0.4999999999999991 0.5000000000000009 0.0 1.0 
0.49999999999999944 0.5000000000000006 0.0 1.0 
0.5000000000000001 0.5 1.0 0.0 
0.5000000000000001 0.5 0.0 1.0 
0.5000000000000032 0.49999999999999667 1.0 0.0 
0.49999999999999933 0.5000000000000007 1.0 0.0 
0.49999999999999933 0.5000000000000007 0.0 1.0 
0.5000000000000006 0.49999999999999944 0.0 1.0 
0.5000000000000004 0.49999999999999956 1.0 0.0 
0.49999999999999933 0.5000000000000007 0.0 1.0 
0.5000000000000014 0.49999999999999867 1.0 0.0 
0.5000000000000016 0.49999999999999845 1.0 0.0 
0.5000000000000027 0.49999999999999734 0.0 1.0 
0.49999999999999956 0.5000000000000006 1.0 0.0 
0.5000000000000001 0.4999999999999998 0.0 1.0 
0.5 0.5 1.0 0.0 
