pohlavi(1M,0Z)	vzdelani(SS,VS)	typ_vzdelani	Mesto<>vesnice	vychova_do_3_let	st_souroz.	ml_souroz.	doba_TV	filmy	dokument	zpravy	erotika	diskuzni	sport	!rozpozn_nalady
0	0.5	0.8	0.6667	0.2	0	0.25	0.2333	1	1	1	0	0	0	1
0	0.5	0.8	0.6667	0.2	0.3333	0	0.2	1	0	1	0	0	0	0.9375
0	0.5	0.8	0	0.2	0.3333	0	0.2333	1	1	1	0	0	0	0.8125
0	0.5	0.6	0.3333	0.2	0	0.25	0.0333	1	0	0	0	0	0	0.8125
0	0.5	0	0	0.2	0	0.25	0.3333	1	0	0	0	0	0	0.4375
0	0.5	0.6	0.6667	0.2	0.3333	0	0.4333	1	0	1	0	0	0	0.5625
0	0.5	0.8	0	0.2	0	0.25	0.2333	1	0	1	0	0	0	0.6875
0	0.5	0.8	0.3333	0.2	1	0.25	0.0667	1	1	0	0	0	0	0.4375
0	0.5	0.8	0.6667	0.2	0	0.25	0.5	1	0	0	0	0	0	0.5
0	0.5	0	0	0.2	0	0	0.3333	0	0	1	0	0	0	0.625
0	0.5	0	0.3333	0.6	0.6667	0	0.0667	1	1	1	0	0	0	0.75
0	0.5	0	0	0.2	0	0.25	0.1333	1	0	0	0	0	0	0.625
