a0	a3	!t0	!t1	!t2	!t3	!t4	!t5	!t6	!t7	!t8	!t9
58	237	1	0	0	0	0	0	0	0	0	0
48	40	1	0	0	0	0	0	0	0	0	0
51	8	1	0	0	0	0	0	0	0	0	0
45	96	1	0	0	0	0	0	0	0	0	0
74	16	1	0	0	0	0	0	0	0	0	0
116	199	1	0	0	0	0	0	0	0	0	0
104	94	1	0	0	0	0	0	0	0	0	0
55	62	1	0	0	0	0	0	0	0	0	0
130	0	1	0	0	0	0	0	0	0	0	0
41	28	1	0	0	0	0	0	0	0	0	0
56	30	1	0	0	0	0	0	0	0	0	0
59	2	1	0	0	0	0	0	0	0	0	0
58	203	1	0	0	0	0	0	0	0	0	0
62	0	1	0	0	0	0	0	0	0	0	0
122	255	1	0	0	0	0	0	0	0	0	0
111	131	1	0	0	0	0	0	0	0	0	0
51	124	1	0	0	0	0	0	0	0	0	0
48	12	1	0	0	0	0	0	0	0	0	0
113	255	1	0	0	0	0	0	0	0	0	0
56	64	1	0	0	0	0	0	0	0	0	0
50	223	1	0	0	0	0	0	0	0	0	0
51	216	1	0	0	0	0	0	0	0	0	0
46	176	1	0	0	0	0	0	0	0	0	0
48	100	1	0	0	0	0	0	0	0	0	0
51	96	1	0	0	0	0	0	0	0	0	0
55	0	1	0	0	0	0	0	0	0	0	0
114	255	1	0	0	0	0	0	0	0	0	0
51	111	1	0	0	0	0	0	0	0	0	0
61	224	1	0	0	0	0	0	0	0	0	0
63	32	1	0	0	0	0	0	0	0	0	0
53	6	1	0	0	0	0	0	0	0	0	0
123	131	1	0	0	0	0	0	0	0	0	0
55	197	1	0	0	0	0	0	0	0	0	0
127	9	1	0	0	0	0	0	0	0	0	0
47	0	1	0	0	0	0	0	0	0	0	0
61	192	1	0	0	0	0	0	0	0	0	0
55	113	1	0	0	0	0	0	0	0	0	0
59	111	1	0	0	0	0	0	0	0	0	0
58	253	1	0	0	0	0	0	0	0	0	0
110	245	1	0	0	0	0	0	0	0	0	0
29	0	1	0	0	0	0	0	0	0	0	0
117	252	1	0	0	0	0	0	0	0	0	0
45	254	1	0	0	0	0	0	0	0	0	0
117	127	1	0	0	0	0	0	0	0	0	0
120	194	1	0	0	0	0	0	0	0	0	0
57	183	1	0	0	0	0	0	0	0	0	0
53	127	1	0	0	0	0	0	0	0	0	0
35	48	1	0	0	0	0	0	0	0	0	0
45	242	1	0	0	0	0	0	0	0	0	0
53	16	1	0	0	0	0	0	0	0	0	0
60	231	1	0	0	0	0	0	0	0	0	0
51	225	1	0	0	0	0	0	0	0	0	0
59	142	1	0	0	0	0	0	0	0	0	0
132	0	1	0	0	0	0	0	0	0	0	0
46	129	1	0	0	0	0	0	0	0	0	0
55	2	1	0	0	0	0	0	0	0	0	0
109	203	1	0	0	0	0	0	0	0	0	0
54	220	1	0	0	0	0	0	0	0	0	0
61	36	1	0	0	0	0	0	0	0	0	0
90	2	1	0	0	0	0	0	0	0	0	0
122	223	1	0	0	0	0	0	0	0	0	0
64	229	1	0	0	0	0	0	0	0	0	0
42	4	1	0	0	0	0	0	0	0	0	0
86	112	1	0	0	0	0	0	0	0	0	0
54	24	1	0	0	0	0	0	0	0	0	0
52	247	1	0	0	0	0	0	0	0	0	0
49	14	1	0	0	0	0	0	0	0	0	0
56	189	1	0	0	0	0	0	0	0	0	0
66	121	1	0	0	0	0	0	0	0	0	0
109	24	1	0	0	0	0	0	0	0	0	0
117	159	1	0	0	0	0	0	0	0	0	0
51	224	1	0	0	0	0	0	0	0	0	0
121	0	1	0	0	0	0	0	0	0	0	0
110	207	1	0	0	0	0	0	0	0	0	0
121	184	1	0	0	0	0	0	0	0	0	0
46	225	1	0	0	0	0	0	0	0	0	0
112	154	1	0	0	0	0	0	0	0	0	0
51	136	1	0	0	0	0	0	0	0	0	0
114	96	1	0	0	0	0	0	0	0	0	0
51	193	1	0	0	0	0	0	0	0	0	0
47	31	1	0	0	0	0	0	0	0	0	0
128	223	1	0	0	0	0	0	0	0	0	0
49	128	1	0	0	0	0	0	0	0	0	0
47	16	1	0	0	0	0	0	0	0	0	0
67	206	1	0	0	0	0	0	0	0	0	0
68	134	1	0	0	0	0	0	0	0	0	0
113	63	1	0	0	0	0	0	0	0	0	0
44	237	1	0	0	0	0	0	0	0	0	0
117	224	1	0	0	0	0	0	0	0	0	0
54	135	1	0	0	0	0	0	0	0	0	0
109	44	1	0	0	0	0	0	0	0	0	0
53	223	1	0	0	0	0	0	0	0	0	0
112	3	1	0	0	0	0	0	0	0	0	0
85	159	1	0	0	0	0	0	0	0	0	0
50	52	1	0	0	0	0	0	0	0	0	0
108	255	1	0	0	0	0	0	0	0	0	0
63	240	1	0	0	0	0	0	0	0	0	0
49	24	1	0	0	0	0	0	0	0	0	0
55	60	1	0	0	0	0	0	0	0	0	0
38	255	1	0	0	0	0	0	0	0	0	0
120	223	1	0	0	0	0	0	0	0	0	0
58	6	1	0	0	0	0	0	0	0	0	0
55	121	1	0	0	0	0	0	0	0	0	0
115	27	1	0	0	0	0	0	0	0	0	0
52	253	1	0	0	0	0	0	0	0	0	0
62	24	1	0	0	0	0	0	0	0	0	0
47	25	1	0	0	0	0	0	0	0	0	0
118	0	1	0	0	0	0	0	0	0	0	0
113	30	1	0	0	0	0	0	0	0	0	0
49	127	1	0	0	0	0	0	0	0	0	0
111	183	1	0	0	0	0	0	0	0	0	0
50	96	1	0	0	0	0	0	0	0	0	0
46	131	1	0	0	0	0	0	0	0	0	0
116	254	1	0	0	0	0	0	0	0	0	0
116	231	1	0	0	0	0	0	0	0	0	0
51	44	1	0	0	0	0	0	0	0	0	0
60	16	1	0	0	0	0	0	0	0	0	0
52	252	1	0	0	0	0	0	0	0	0	0
44	7	1	0	0	0	0	0	0	0	0	0
131	2	0	1	0	0	0	0	0	0	0	0
150	128	0	1	0	0	0	0	0	0	0	0
139	241	0	1	0	0	0	0	0	0	0	0
149	0	0	1	0	0	0	0	0	0	0	0
27	255	0	1	0	0	0	0	0	0	0	0
122	227	0	1	0	0	0	0	0	0	0	0
102	223	0	1	0	0	0	0	0	0	0	0
138	128	0	1	0	0	0	0	0	0	0	0
151	100	0	1	0	0	0	0	0	0	0	0
129	135	0	1	0	0	0	0	0	0	0	0
169	2	0	1	0	0	0	0	0	0	0	0
105	223	0	1	0	0	0	0	0	0	0	0
131	159	0	1	0	0	0	0	0	0	0	0
160	0	0	1	0	0	0	0	0	0	0	0
123	30	0	1	0	0	0	0	0	0	0	0
129	131	0	1	0	0	0	0	0	0	0	0
37	34	0	1	0	0	0	0	0	0	0	0
143	1	0	1	0	0	0	0	0	0	0	0
109	56	0	1	0	0	0	0	0	0	0	0
102	0	0	1	0	0	0	0	0	0	0	0
157	28	0	1	0	0	0	0	0	0	0	0
140	88	0	1	0	0	0	0	0	0	0	0
104	62	0	1	0	0	0	0	0	0	0	0
31	253	0	1	0	0	0	0	0	0	0	0
29	2	0	1	0	0	0	0	0	0	0	0
145	0	0	1	0	0	0	0	0	0	0	0
159	0	0	1	0	0	0	0	0	0	0	0
138	255	0	1	0	0	0	0	0	0	0	0
188	229	0	1	0	0	0	0	0	0	0	0
117	253	0	1	0	0	0	0	0	0	0	0
136	199	0	1	0	0	0	0	0	0	0	0
61	222	0	1	0	0	0	0	0	0	0	0
89	255	0	1	0	0	0	0	0	0	0	0
158	2	0	1	0	0	0	0	0	0	0	0
130	96	0	1	0	0	0	0	0	0	0	0
117	96	0	1	0	0	0	0	0	0	0	0
24	108	0	1	0	0	0	0	0	0	0	0
59	136	0	1	0	0	0	0	0	0	0	0
49	127	0	1	0	0	0	0	0	0	0	0
171	225	0	1	0	0	0	0	0	0	0	0
146	88	0	1	0	0	0	0	0	0	0	0
59	191	0	1	0	0	0	0	0	0	0	0
187	32	0	1	0	0	0	0	0	0	0	0
83	96	0	1	0	0	0	0	0	0	0	0
29	200	0	1	0	0	0	0	0	0	0	0
159	30	0	1	0	0	0	0	0	0	0	0
169	60	0	1	0	0	0	0	0	0	0	0
141	60	0	1	0	0	0	0	0	0	0	0
161	56	0	1	0	0	0	0	0	0	0	0
52	61	0	1	0	0	0	0	0	0	0	0
37	199	0	1	0	0	0	0	0	0	0	0
163	127	0	1	0	0	0	0	0	0	0	0
146	7	0	1	0	0	0	0	0	0	0	0
4	11	0	1	0	0	0	0	0	0	0	0
141	246	0	1	0	0	0	0	0	0	0	0
149	193	0	1	0	0	0	0	0	0	0	0
170	6	0	1	0	0	0	0	0	0	0	0
164	128	0	1	0	0	0	0	0	0	0	0
160	192	0	1	0	0	0	0	0	0	0	0
142	227	0	1	0	0	0	0	0	0	0	0
149	124	0	1	0	0	0	0	0	0	0	0
152	15	0	1	0	0	0	0	0	0	0	0
123	227	0	1	0	0	0	0	0	0	0	0
143	0	0	1	0	0	0	0	0	0	0	0
15	229	0	1	0	0	0	0	0	0	0	0
131	60	0	1	0	0	0	0	0	0	0	0
